 kode_mata_kuliah |                 nama_mata_kuliah                  | total_mahasiswa_mengambil | total_tidak_lulus | persentase_tidak_lulus | peringkat_kritis
     2023 | Audit Visi Komputer Berbasis Cloud                | Wajib             |             211 |          54 |        25.59 |                            128
     2023 | Rekayasa Pembelajaran Mesin Berbasis Cloud        | Wajib             |             254 |          65 |        25.59 |                            129
     2023 | Keamanan Pembelajaran Mendalam Terapan            | Wajib             |             235 |          60 |        25.53 |                            130
     2023 | Praktikum Pembelajaran Mesin II                   | Wajib             |             243 |          62 |        25.51 |                            131
     2023 | Keamanan Analisis Data Eksploratif I              | Wajib             |             200 |          51 |        25.50 |                            132
     2023 | Pengantar Forensik Digital II                     | Wajib             |             264 |          67 |        25.38 |                            133
     2023 | Sains Data Berbasis Cloud                         | Wajib             |             221 |          56 |        25.34 |                            134
     2023 | Kriptografi Lanjut                                | Wajib             |             249 |          63 |        25.30 |                            135
     2023 | Praktikum Sains Data Lanjut                       | Wajib             |             182 |          46 |        25.27 |                            136
     2023 | Evaluasi Sains Data Terapan                       | Wajib             |             186 |          47 |        25.27 |                            137
     2023 | Topik Khusus Komputasi Awan Berbasis Cloud        | Wajib             |             198 |          50 |        25.25 |                            138
     2023 | Desain Kriptografi Berbasis Cloud                 | Wajib             |             202 |          51 |        25.25 |                            139
     2023 | Desain Jaringan Komputer I                        | Wajib             |             214 |          54 |        25.23 |                            140
     2023 | Praktikum Sistem Operasi                          | Wajib             |             218 |          55 |        25.23 |                            141
     2023 | Desain Algoritma                                  | Wajib             |             226 |          57 |        25.22 |                            142
     2023 | Rekayasa Statistika Komputasi I                   | Wajib             |             230 |          58 |        25.22 |                            143
     2023 | Pengantar Sistem Terdistribusi I                  | Wajib             |             238 |          60 |        25.21 |                            144
     2023 | Pengantar Algoritma Berbasis Cloud                | Wajib             |             250 |          63 |        25.20 |                            145
     2023 | Praktikum Pembelajaran Mendalam Terapan           | Wajib             |             203 |          51 |        25.12 |                            146
     2023 | Pemrosesan Bahasa Alami Terapan                   | Wajib             |             247 |          62 |        25.10 |                            147
     2023 | Evaluasi Algoritma Lanjut                         | Wajib             |             243 |          61 |        25.10 |                            148
     2023 | Audit Jaringan Komputer Lanjut                    | Wajib             |             249 |          62 |        24.90 |                            149
     2023 | Evaluasi Pembelajaran Mesin Kontemporer           | Wajib             |             189 |          47 |        24.87 |                            150
     2023 | Pembelajaran Mesin Kontemporer                    | Wajib             |             234 |          58 |        24.79 |                            151
     2023 | Audit Pengembangan API                            | Wajib             |             271 |          67 |        24.72 |                            152
     2023 | Keamanan Struktur Data II                         | Wajib             |             207 |          51 |        24.64 |                            153
     2023 | Evaluasi Statistika Komputasi I                   | Wajib             |             268 |          66 |        24.63 |                            154
     2023 | Keamanan Pembelajaran Mendalam Lanjut             | Wajib             |             232 |          57 |        24.57 |                            155
     2023 | Manajemen Rekayasa Perangkat Lunak I              | Wajib             |             225 |          55 |        24.44 |                            156
     2023 | Rekayasa Sains Data                               | Wajib             |             225 |          55 |        24.44 |                            157
     2023 | Rekayasa Jaringan Komputer Kontemporer            | Wajib             |             254 |          62 |        24.41 |                            158
     2023 | Praktikum Pembelajaran Mendalam II                | Wajib             |             201 |          49 |        24.38 |                            159
     2023 | Manajemen Internet of Things Lanjut               | Wajib             |             201 |          49 |        24.38 |                            160
     2023 | Topik Khusus Jaringan Komputer Berbasis Cloud     | Wajib             |             251 |          61 |        24.30 |                            161
     2023 | Struktur Data                                     | Wajib             |             227 |          55 |        24.23 |                            162
     2023 | Praktikum Pembelajaran Mesin Lanjut               | Wajib             |             256 |          62 |        24.22 |                            163
     2023 | Desain Keamanan Siber Lanjut                      | Wajib             |             221 |          53 |        23.98 |                            164
     2023 | Pengantar Pemrosesan Bahasa Alami Terapan         | Wajib             |             238 |          57 |        23.95 |                            165
     2023 | Desain Pembelajaran Mendalam II                   | Wajib             |             184 |          44 |        23.91 |                            166
     2023 | Praktikum Pembelajaran Mesin Terapan              | Wajib             |             193 |          46 |        23.83 |                            167
     2023 | Sistem Terdistribusi II                           | Wajib             |             214 |          51 |        23.83 |                            168
     2023 | Manajemen Pemrosesan Bahasa Alami Lanjut          | Wajib             |             210 |          50 |        23.81 |                            169
     2023 | Pengantar Sistem Operasi                          | Wajib             |             203 |          48 |        23.65 |                            170
     2023 | Kecerdasan Buatan                                 | Wajib             |             216 |          51 |        23.61 |                            171
     2023 | Rekayasa Visi Komputer Terapan                    | Wajib             |             213 |          50 |        23.47 |                            172
     2023 | Praktikum Statistika Komputasi Kontemporer        | Wajib             |             243 |          57 |        23.46 |                            173
     2023 | Manajemen Pembelajaran Mendalam Kontemporer       | Wajib             |             239 |          56 |        23.43 |                            174
     2023 | Praktikum Komputasi Awan                          | Wajib             |             188 |          44 |        23.40 |                            175
     2023 | Rekayasa Pengembangan API I                       | Wajib             |             202 |          47 |        23.27 |                            176
     2023 | Rekayasa Rekayasa Perangkat Lunak I               | Wajib             |             241 |          56 |        23.24 |                            177
     2023 | Keamanan Kecerdasan Buatan Lanjut                 | Wajib             |             224 |          52 |        23.21 |                            178
     2023 | Evaluasi Visi Komputer Berbasis Cloud             | Wajib             |             212 |          49 |        23.11 |                            179
     2023 | Praktikum Rekayasa Perangkat Lunak Berbasis Cloud | Wajib             |             182 |          42 |        23.08 |                            180
     2023 | Audit Pengembangan API Lanjut                     | Wajib             |             211 |          48 |        22.75 |                            181
     2023 | Manajemen Visi Komputer                           | Wajib             |             216 |          49 |        22.69 |                            182
     2023 | Praktikum Komputasi Awan II                       | Wajib             |             234 |          53 |        22.65 |                            183
     2023 | Evaluasi Manajemen Proyek TI Terapan              | Wajib             |             213 |          48 |        22.54 |                            184
     2023 | Keamanan Statistika Komputasi Kontemporer         | Wajib             |             200 |          45 |        22.50 |                            185
     2023 | Praktikum Kriptografi Lanjut                      | Wajib             |             192 |          43 |        22.40 |                            186
     2023 | Desain Pengembangan API Lanjut                    | Wajib             |             193 |          43 |        22.28 |                            187
     2023 | Manajemen Analisis Data Eksploratif Terapan       | Wajib             |             220 |          49 |        22.27 |                            188
     2023 | Pengantar Sains Data Terapan                      | Wajib             |             217 |          48 |        22.12 |                            189
     2023 | Pembelajaran Mendalam Lanjut                      | Wajib             |             246 |          54 |        21.95 |                            190
     2023 | Rekayasa Visi Komputer Berbasis Cloud             | Wajib             |             205 |          44 |        21.46 |                            191
     2023 | Evaluasi Pengembangan API Lanjut                  | Wajib             |             224 |          47 |        20.98 |                            192
     2023 | Rekayasa Matematika Diskrit                       | Wajib             |             202 |          42 |        20.79 |                            193
     2023 | Topik Khusus Internet of Things Berbasis Cloud    | Wajib             |             247 |          51 |        20.65 |                            194
     2023 | Evaluasi Jaringan Komputer Kontemporer            | Wajib             |             201 |          41 |        20.40 |                            195
     2023 | Audit Sistem Basis Data Berbasis Cloud            | Wajib             |             250 |          51 |        20.40 |                            196
     2023 | Evaluasi Manajemen Proyek TI Berbasis Cloud       | Wajib             |             260 |          53 |        20.38 |                            197
     2023 | Praktikum Rekayasa Perangkat Lunak II             | Wajib             |             219 |          44 |        20.09 |                            198
     2023 | Desain Sistem Basis Data Lanjut                   | Wajib             |             216 |          43 |        19.91 |                            199
     2023 | Manajemen Statistika Komputasi Lanjut             | Wajib             |             214 |          39 |        18.22 |                            200
     2024 | Topik Khusus Sistem Operasi Lanjut                | Wajib             |              78 |          29 |        37.18 |                              1
     2024 | Praktikum Pengembangan API II                     | Wajib             |              60 |          22 |        36.67 |                              2
     2024 | Praktikum Komputasi Awan                          | Wajib             |              78 |          27 |        34.62 |                              3
     2024 | Manajemen Kecerdasan Buatan Berbasis Cloud        | Wajib             |              90 |          30 |        33.33 |                              4
     2024 | Rekayasa Struktur Data Terapan                    | Wajib             |              91 |          30 |        32.97 |                              5
     2024 | Topik Khusus Komputasi Awan Berbasis Cloud        | Wajib             |              83 |          27 |        32.53 |                              6
     2024 | Manajemen Manajemen Proyek TI Lanjut              | Wajib             |              78 |          25 |        32.05 |                              7
     2024 | Praktikum Pembelajaran Mendalam Lanjut            | Wajib             |              76 |          24 |        31.58 |                              8
     2024 | Kriptografi Terapan                               | Wajib             |              81 |          25 |        30.86 |                              9
     2024 | Evaluasi Jaringan Komputer Kontemporer            | Wajib             |              62 |          19 |        30.65 |                             10
     2024 | Praktikum Visi Komputer II                        | Wajib             |              82 |          25 |        30.49 |                             11
     2024 | Evaluasi Kriptografi Lanjut                       | Wajib             |             106 |          32 |        30.19 |                             12
     2024 | Pengembangan API II                               | Wajib             |              63 |          19 |        30.16 |                             13
     2024 | Rekayasa Pengembangan API                         | Wajib             |              70 |          21 |        30.00 |                             14
     2024 | Topik Khusus Jaringan Komputer                    | Wajib             |              80 |          24 |        30.00 |                             15
     2024 | Rekayasa Komputasi Awan II                        | Wajib             |              77 |          23 |        29.87 |                             16
     2024 | Manajemen Statistika Komputasi                    | Wajib             |              67 |          20 |        29.85 |                             17
     2024 | Audit Jaringan Komputer Lanjut                    | Wajib             |             101 |          30 |        29.70 |                             18
     2024 | Audit Sistem Terdistribusi Lanjut                 | Wajib             |              95 |          28 |        29.47 |                             19
     2024 | Evaluasi Sains Data Terapan                       | Wajib             |              75 |          22 |        29.33 |                             20
     2024 | Desain Kriptografi Berbasis Cloud                 | Wajib             |              93 |          27 |        29.03 |                             21
     2024 | Desain Pengembangan API Lanjut                    | Wajib             |              69 |          20 |        28.99 |                             22
     2024 | Evaluasi Pengembangan API Lanjut                  | Wajib             |              80 |          23 |        28.75 |                             23
     2024 | Desain Forensik Digital Lanjut                    | Wajib             |              80 |          23 |        28.75 |                             24
     2024 | Sistem Terdistribusi Berbasis Cloud               | Wajib             |              87 |          25 |        28.74 |                             25
     2024 | Audit Analisis Data Eksploratif Kontemporer       | Wajib             |              84 |          24 |        28.57 |                             26
     2024 | Desain Struktur Data Terapan                      | Wajib             |              77 |          22 |        28.57 |                             27
     2024 | Manajemen Pembelajaran Mendalam Kontemporer       | Wajib             |              95 |          27 |        28.42 |                             28
     2024 | Topik Khusus Matematika Diskrit II                | Wajib             |              95 |          27 |        28.42 |                             29
     2024 | Audit Visi Komputer Berbasis Cloud                | Wajib             |              60 |          17 |        28.33 |                             30
     2024 | Keamanan Pemrograman Web I                        | Wajib             |              92 |          26 |        28.26 |                             31
     2024 | Rekayasa Visi Komputer Berbasis Cloud             | Wajib             |              71 |          20 |        28.17 |                             32
     2024 | Rekayasa Jaringan Komputer Kontemporer            | Wajib             |              82 |          23 |        28.05 |                             33
     2024 | Rekayasa Internet of Things Lanjut                | Wajib             |              75 |          21 |        28.00 |                             34
     2024 | Pembelajaran Mendalam Lanjut                      | Wajib             |              83 |          23 |        27.71 |                             35
     2024 | Desain Jaringan Komputer I                        | Wajib             |              69 |          19 |        27.54 |                             36
     2024 | Desain Algoritma                                  | Wajib             |              80 |          22 |        27.50 |                             37
     2024 | Manajemen Pemrograman Web Terapan                 | Wajib             |              80 |          22 |        27.50 |                             38
     2024 | Rekayasa Jaringan Komputer I                      | Wajib             |              80 |          22 |        27.50 |                             39
     2024 | Manajemen Visi Komputer                           | Wajib             |              84 |          23 |        27.38 |                             40
     2024 | Jaringan Komputer Terapan                         | Wajib             |              92 |          25 |        27.17 |                             41
     2024 | Praktikum Pemrosesan Bahasa Alami II              | Wajib             |              85 |          23 |        27.06 |                             42
     2024 | Rekayasa Pemrograman Web II                       | Wajib             |             100 |          27 |        27.00 |                             43
     2024 | Topik Khusus Internet of Things Berbasis Cloud    | Wajib             |              89 |          24 |        26.97 |                             44
     2024 | Audit Algoritma I                                 | Wajib             |              89 |          24 |        26.97 |                             45
     2024 | Manajemen Struktur Data Berbasis Cloud            | Wajib             |              71 |          19 |        26.76 |                             46
     2024 | Evaluasi Pembelajaran Mesin Kontemporer           | Wajib             |              75 |          20 |        26.67 |                             47
     2024 | Praktikum Sistem Operasi Kontemporer              | Wajib             |              75 |          20 |        26.67 |                             48
     2024 | Manajemen Pembelajaran Mendalam                   | Wajib             |             105 |          28 |        26.67 |                             49
     2024 | Audit Sistem Terdistribusi Terapan                | Wajib             |              98 |          26 |        26.53 |                             50
     2024 | Evaluasi Analisis Data Eksploratif                | Wajib             |              98 |          26 |        26.53 |                             51
     2024 | Evaluasi Struktur Data I                          | Wajib             |              98 |          26 |        26.53 |                             52
     2024 | Desain Algoritma II                               | Wajib             |              68 |          18 |        26.47 |                             53
     2024 | Topik Khusus Pemrosesan Bahasa Alami Lanjut       | Wajib             |              76 |          20 |        26.32 |                             54
     2024 | Praktikum Statistika Komputasi Kontemporer        | Wajib             |              80 |          21 |        26.25 |                             55
     2024 | Audit Analisis Data Eksploratif Berbasis Cloud    | Wajib             |              84 |          22 |        26.19 |                             56
     2024 | Praktikum Pembelajaran Mesin Lanjut               | Wajib             |             107 |          28 |        26.17 |                             57
     2024 | Desain Algoritma Berbasis Cloud                   | Wajib             |              92 |          24 |        26.09 |                             58
     2024 | Evaluasi Manajemen Proyek TI Terapan              | Wajib             |              73 |          19 |        26.03 |                             59
     2024 | Evaluasi Kecerdasan Buatan I                      | Wajib             |              81 |          21 |        25.93 |                             60
     2024 | Desain Manajemen Proyek TI I                      | Wajib             |              85 |          22 |        25.88 |                             61
     2024 | Desain Komputasi Awan I                           | Wajib             |              85 |          22 |        25.88 |                             62
     2024 | Pengantar Statistika Komputasi Lanjut             | Wajib             |              89 |          23 |        25.84 |                             63
     2024 | Rekayasa Pembelajaran Mesin Berbasis Cloud        | Wajib             |              97 |          25 |        25.77 |                             64
     2024 | Sains Data Berbasis Cloud                         | Wajib             |              66 |          17 |        25.76 |                             65
     2024 | Topik Khusus Algoritma Berbasis Cloud             | Wajib             |              70 |          18 |        25.71 |                             66
     2024 | Keamanan Struktur Data I                          | Wajib             |              82 |          21 |        25.61 |                             67
     2024 | Topik Khusus Algoritma Kontemporer                | Wajib             |              86 |          22 |        25.58 |                             68
     2024 | Pengantar Manajemen Proyek TI Kontemporer         | Wajib             |              94 |          24 |        25.53 |                             69
     2024 | Desain Matematika Diskrit I                       | Wajib             |             102 |          26 |        25.49 |                             70
     2024 | Rekayasa Sistem Terdistribusi I                   | Wajib             |              63 |          16 |        25.40 |                             71
     2024 | Evaluasi Kriptografi                              | Wajib             |              67 |          17 |        25.37 |                             72
     2024 | Struktur Data                                     | Wajib             |              75 |          19 |        25.33 |                             73
     2024 | Kriptografi Berbasis Cloud                        | Wajib             |              79 |          20 |        25.32 |                             74
     2024 | Evaluasi Struktur Data Lanjut                     | Wajib             |              83 |          21 |        25.30 |                             75
     2024 | Topik Khusus Pembelajaran Mesin Kontemporer       | Wajib             |              87 |          22 |        25.29 |                             76
     2024 | Manajemen Internet of Things Lanjut               | Wajib             |              91 |          23 |        25.27 |                             77
     2024 | Pengantar Manajemen Proyek TI Berbasis Cloud      | Wajib             |              95 |          24 |        25.26 |                             78
     2024 | Sistem Basis Data I                               | Wajib             |              99 |          25 |        25.25 |                             79
     2024 | Praktikum Pembelajaran Mendalam Terapan           | Wajib             |              68 |          17 |        25.00 |                             80
     2024 | Pengantar Sistem Terdistribusi Terapan            | Wajib             |              88 |          22 |        25.00 |                             81
     2024 | Pengantar Forensik Digital Kontemporer            | Wajib             |              60 |          15 |        25.00 |                             82
     2024 | Desain Pembelajaran Mendalam II                   | Wajib             |              84 |          21 |        25.00 |                             83
     2024 | Desain Rekayasa Perangkat Lunak Terapan           | Wajib             |              84 |          21 |        25.00 |                             84
     2024 | Pengantar Sistem Basis Data Kontemporer           | Wajib             |              89 |          22 |        24.72 |                             85
     2024 | Keamanan Struktur Data II                         | Wajib             |              89 |          22 |        24.72 |                             86
     2024 | Desain Sistem Basis Data Lanjut                   | Wajib             |              81 |          20 |        24.69 |                             87
     2024 | Pemrosesan Bahasa Alami                           | Wajib             |              77 |          19 |        24.68 |                             88
     2024 | Evaluasi Statistika Komputasi I                   | Wajib             |              94 |          23 |        24.47 |                             89
     2024 | Keamanan Statistika Komputasi Lanjut              | Wajib             |              86 |          21 |        24.42 |                             90
     2024 | Keamanan Pembelajaran Mesin                       | Wajib             |              82 |          20 |        24.39 |                             91
     2024 | Evaluasi Struktur Data Kontemporer                | Wajib             |              78 |          19 |        24.36 |                             92
     2024 | Manajemen Rekayasa Perangkat Lunak I              | Wajib             |              70 |          17 |        24.29 |                             93
     2024 | Manajemen Analisis Data Eksploratif Terapan       | Wajib             |              62 |          15 |        24.19 |                             94
     2024 | Topik Khusus Sains Data II                        | Wajib             |              83 |          20 |        24.10 |                             95
     2024 | Topik Khusus Rekayasa Perangkat Lunak             | Wajib             |             100 |          24 |        24.00 |                             96
     2024 | Evaluasi Jaringan Komputer Berbasis Cloud         | Wajib             |              96 |          23 |        23.96 |                             97
     2024 | Desain Sistem Terdistribusi Terapan               | Wajib             |              71 |          17 |        23.94 |                             98
     2024 | Manajemen Visi Komputer Terapan                   | Wajib             |              71 |          17 |        23.94 |                             99
     2024 | Praktikum Pembelajaran Mendalam II                | Wajib             |              92 |          22 |        23.91 |                            100
     2024 | Evaluasi Manajemen Proyek TI Berbasis Cloud       | Wajib             |              92 |          22 |        23.91 |                            101
     2024 | Rekayasa Visi Komputer Terapan                    | Wajib             |              63 |          15 |        23.81 |                            102
     2024 | Rekayasa Rekayasa Perangkat Lunak I               | Wajib             |              84 |          20 |        23.81 |                            103
     2024 | Evaluasi Forensik Digital I                       | Wajib             |              72 |          17 |        23.61 |                            104
     2024 | Topik Khusus Analisis Data Eksploratif Lanjut     | Wajib             |              72 |          17 |        23.61 |                            105
     2024 | Rekayasa Manajemen Proyek TI Lanjut               | Wajib             |              89 |          21 |        23.60 |                            106
     2024 | Audit Kriptografi                                 | Wajib             |              89 |          21 |        23.60 |                            107
     2024 | Praktikum Sistem Operasi I                        | Wajib             |             102 |          24 |        23.53 |                            108
     2024 | Praktikum Pembelajaran Mesin II                   | Wajib             |              85 |          20 |        23.53 |                            109
     2024 | Praktikum Kriptografi Lanjut                      | Wajib             |              90 |          21 |        23.33 |                            110
     2024 | Praktikum Algoritma                               | Wajib             |              90 |          21 |        23.33 |                            111
     2024 | Rekayasa Statistika Komputasi I                   | Wajib             |              86 |          20 |        23.26 |                            112
     2024 | Praktikum Pembelajaran Mesin Terapan              | Wajib             |              61 |          14 |        22.95 |                            113
     2024 | Audit Forensik Digital Lanjut                     | Wajib             |              83 |          19 |        22.89 |                            114
     2024 | Desain Keamanan Siber Lanjut                      | Wajib             |              83 |          19 |        22.89 |                            115
     2024 | Rekayasa Sains Data                               | Wajib             |              88 |          20 |        22.73 |                            116
     2024 | Evaluasi Statistika Komputasi Kontemporer         | Wajib             |              97 |          22 |        22.68 |                            117
     2024 | Manajemen Pembelajaran Mesin II                   | Wajib             |              97 |          22 |        22.68 |                            118
     2024 | Keamanan Matematika Diskrit Berbasis Cloud        | Wajib             |              84 |          19 |        22.62 |                            119
     2024 | Audit Matematika Diskrit II                       | Wajib             |              84 |          19 |        22.62 |                            120
     2024 | Desain Sistem Terdistribusi II                    | Wajib             |              80 |          18 |        22.50 |                            121
     2024 | Manajemen Kecerdasan Buatan II                    | Wajib             |              89 |          20 |        22.47 |                            122
     2024 | Audit Pengembangan API                            | Wajib             |              94 |          21 |        22.34 |                            123
     2024 | Audit Sistem Basis Data Berbasis Cloud            | Wajib             |              94 |          21 |        22.34 |                            124
     2024 | Pengantar Pemrosesan Bahasa Alami Berbasis Cloud  | Wajib             |             103 |          23 |        22.33 |                            125
     2024 | Algoritma Lanjut                                  | Wajib             |              63 |          14 |        22.22 |                            126
     2024 | Praktikum Pemrograman Web I                       | Wajib             |              81 |          18 |        22.22 |                            127
     2024 | Keamanan Sistem Basis Data I                      | Wajib             |              95 |          21 |        22.11 |                            128
     2024 | Pembelajaran Mendalam Berbasis Cloud              | Wajib             |              77 |          17 |        22.08 |                            129
     2024 | Praktikum Visi Komputer Lanjut                    | Wajib             |              77 |          17 |        22.08 |                            130
     2024 | Pengantar Sistem Operasi                          | Wajib             |              91 |          20 |        21.98 |                            131
     2024 | Keamanan Kecerdasan Buatan Lanjut                 | Wajib             |              73 |          16 |        21.92 |                            132
     2024 | Audit Struktur Data I                             | Wajib             |             105 |          23 |        21.90 |                            133
     2024 | Pengantar Manajemen Proyek TI Terapan             | Wajib             |              78 |          17 |        21.79 |                            134
     2024 | Pemrosesan Bahasa Alami Terapan                   | Wajib             |             106 |          23 |        21.70 |                            135
     2024 | Desain Sistem Basis Data II                       | Wajib             |              97 |          21 |        21.65 |                            136
     2024 | Pengantar Algoritma Berbasis Cloud                | Wajib             |              88 |          19 |        21.59 |                            137
     2024 | Kriptografi Lanjut                                | Wajib             |              94 |          20 |        21.28 |                            138
     2024 | Pengantar Pemrograman Web Lanjut                  | Wajib             |              90 |          19 |        21.11 |                            139
     2024 | Keamanan Rekayasa Perangkat Lunak II              | Wajib             |              81 |          17 |        20.99 |                            140
     2024 | Rekayasa Forensik Digital Kontemporer             | Wajib             |              81 |          17 |        20.99 |                            141
     2024 | Rekayasa Matematika Diskrit                       | Wajib             |              81 |          17 |        20.99 |                            142
     2024 | Rekayasa Komputasi Awan Berbasis Cloud            | Wajib             |              67 |          14 |        20.90 |                            143
     2024 | Praktikum Rekayasa Perangkat Lunak II             | Wajib             |              91 |          19 |        20.88 |                            144
     2024 | Manajemen Pemrosesan Bahasa Alami Terapan         | Wajib             |              72 |          15 |        20.83 |                            145
     2024 | Keamanan Pembelajaran Mendalam Terapan            | Wajib             |              77 |          16 |        20.78 |                            146
     2024 | Manajemen Pemrosesan Bahasa Alami Kontemporer     | Wajib             |              77 |          16 |        20.78 |                            147
     2024 | Desain Pemrograman Web Kontemporer                | Wajib             |             106 |          22 |        20.75 |                            148
     2024 | Pengantar Forensik Digital II                     | Wajib             |             106 |          22 |        20.75 |                            149
     2024 | Pembelajaran Mesin Kontemporer                    | Wajib             |              82 |          17 |        20.73 |                            150
     2024 | Evaluasi Algoritma Lanjut                         | Wajib             |              82 |          17 |        20.73 |                            151
     2024 | Kriptografi Kontemporer                           | Wajib             |              87 |          18 |        20.69 |                            152
     2024 | Audit Pemrosesan Bahasa Alami                     | Wajib             |              97 |          20 |        20.62 |                            153
     2024 | Keamanan Rekayasa Perangkat Lunak Lanjut          | Wajib             |              83 |          17 |        20.48 |                            154
     2024 | Praktikum Komputasi Awan Terapan                  | Wajib             |              69 |          14 |        20.29 |                            155
     2024 | Audit Struktur Data Terapan                       | Wajib             |              80 |          16 |        20.00 |                            156
     2024 | Audit Visi Komputer Kontemporer                   | Wajib             |              86 |          17 |        19.77 |                            157
     2024 | Topik Khusus Visi Komputer Terapan                | Wajib             |              86 |          17 |        19.77 |                            158
     2024 | Keamanan Pemrosesan Bahasa Alami Lanjut           | Wajib             |              81 |          16 |        19.75 |                            159
     2024 | Desain Internet of Things Terapan                 | Wajib             |              66 |          13 |        19.70 |                            160
     2024 | Pengantar Sistem Terdistribusi I                  | Wajib             |              82 |          16 |        19.51 |                            161
     2024 | Audit Sistem Terdistribusi I                      | Wajib             |              77 |          15 |        19.48 |                            162
     2024 | Rekayasa Pengembangan API I                       | Wajib             |              77 |          15 |        19.48 |                            163
     2024 | Praktikum Sains Data Lanjut                       | Wajib             |              72 |          14 |        19.44 |                            164
     2024 | Praktikum Sistem Operasi                          | Wajib             |              72 |          14 |        19.44 |                            165
     2024 | Manajemen Forensik Digital I                      | Wajib             |              67 |          13 |        19.40 |                            166
     2024 | Manajemen Kriptografi Kontemporer                 | Wajib             |              57 |          11 |        19.30 |                            167
     2024 | Keamanan Statistika Komputasi Kontemporer         | Wajib             |              83 |          16 |        19.28 |                            168
     2024 | Pengantar Sains Data Terapan                      | Wajib             |              84 |          16 |        19.05 |                            169
     2024 | Desain Matematika Diskrit Terapan                 | Wajib             |              79 |          15 |        18.99 |                            170
     2024 | Evaluasi Sistem Basis Data Lanjut                 | Wajib             |              58 |          11 |        18.97 |                            171
     2024 | Keamanan Siber Berbasis Cloud                     | Wajib             |              91 |          17 |        18.68 |                            172
     2024 | Praktikum Rekayasa Perangkat Lunak Berbasis Cloud | Wajib             |              75 |          14 |        18.67 |                            173
     2024 | Evaluasi Pembelajaran Mendalam Terapan            | Wajib             |              75 |          14 |        18.67 |                            174
     2024 | Sistem Terdistribusi II                           | Wajib             |              86 |          16 |        18.60 |                            175
     2024 | Evaluasi Statistika Komputasi Terapan             | Wajib             |              97 |          18 |        18.56 |                            176
     2024 | Audit Pengembangan API Lanjut                     | Wajib             |              92 |          17 |        18.48 |                            177
     2024 | Manajemen Struktur Data                           | Wajib             |              65 |          12 |        18.46 |                            178
     2024 | Evaluasi Pemrograman Web Terapan                  | Wajib             |              76 |          14 |        18.42 |                            179
     2024 | Keamanan Analisis Data Eksploratif I              | Wajib             |              87 |          16 |        18.39 |                            180
     2024 | Manajemen Pemrosesan Bahasa Alami Lanjut          | Wajib             |              71 |          13 |        18.31 |                            181
     2024 | Praktikum Struktur Data Terapan                   | Wajib             |              77 |          14 |        18.18 |                            182
     2024 | Pengantar Sistem Terdistribusi Berbasis Cloud     | Wajib             |              94 |          17 |        18.09 |                            183
     2024 | Audit Sains Data II                               | Wajib             |              96 |          17 |        17.71 |                            184
     2024 | Manajemen Statistika Komputasi Lanjut             | Wajib             |              68 |          12 |        17.65 |                            185
     2024 | Komputasi Awan I                                  | Wajib             |              80 |          14 |        17.50 |                            186
     2024 | Pengantar Kecerdasan Buatan II                    | Wajib             |              58 |          10 |        17.24 |                            187
     2024 | Evaluasi Visi Komputer Kontemporer                | Wajib             |              70 |          12 |        17.14 |                            188
     2024 | Audit Visi Komputer                               | Wajib             |              71 |          12 |        16.90 |                            189
     2024 | Topik Khusus Jaringan Komputer Berbasis Cloud     | Wajib             |              95 |          16 |        16.84 |                            190
     2024 | Desain Jaringan Komputer                          | Wajib             |              72 |          12 |        16.67 |                            191
     2024 | Pengantar Pemrosesan Bahasa Alami Terapan         | Wajib             |              90 |          15 |        16.67 |                            192
     2024 | Praktikum Pemrosesan Bahasa Alami Lanjut          | Wajib             |              98 |          16 |        16.33 |                            193
     2024 | Kecerdasan Buatan                                 | Wajib             |              68 |          11 |        16.18 |                            194
     2024 | Praktikum Komputasi Awan II                       | Wajib             |              87 |          14 |        16.09 |                            195
     2024 | Audit Statistika Komputasi Lanjut                 | Wajib             |             111 |          17 |        15.32 |                            196
     2024 | Keamanan Pembelajaran Mendalam Lanjut             | Wajib             |              92 |          14 |        15.22 |                            197
     2024 | Sistem Operasi Berbasis Cloud                     | Wajib             |              79 |          12 |        15.19 |                            198
     2024 | Sains Data II                                     | Wajib             |              70 |          10 |        14.29 |                            199
     2024 | Evaluasi Visi Komputer Berbasis Cloud             | Wajib             |              93 |          13 |        13.98 |                            200
(1000 rows)

        nama_kategori        | frekuensi_peminjaman | total_judul_buku_unik_dipinjam | peringkat_popularitas
-----------------------------+----------------------+--------------------------------+-----------------------
 Rekayasa Perangkat Lunak    |                51191 |                          56837 |                     1
 Ilmu Komputer & Informatika |                46917 |                          51581 |                     2
 Sistem Informasi            |                46323 |                          50768 |                     3
 Kecerdasan Buatan & Data    |                45800 |                          50136 |                     4
 Jaringan & Keamanan Siber   |                40812 |                          44193 |                     5
